"t"	"glc"	"gln"	"cys2o"	"xct"	"ros[t]"	"ca[t]"	"gsh[t]"	"gssg[t]"	"nadph[t]"	"cys2[t]"	"cys[t]"	"pptaseRed[t]"	"rtkPhos[t]"	"glu[t]"	"ros'[t]"	"ca'[t]"	"gsh'[t]"	"gssg'[t]"	"nadph'[t]"	"cys2'[t]"	"cys'[t]"	"pptaseRed'[t]"	"rtkPhos'[t]"	"glu'[t]"
44	0	2000	200	3	0.9142478503716874	1.014228470400579	87.90043312105688	1478.397153670603	0.03178977838561327	179.89460840738658	868.0697268944062	0.049017390455647084	0.01694317197388156	1906.5595671276462	0.000013765389094659032	0.000019362499656883887	-0.0024522216474095054	0.27351439682098994	-6.0067600012056705e-6	0.026067627491234487	-0.04367629573950376	-1.0921208109626288e-6	5.815238851439436e-7	-0.09912419590029815
45	0	2000	200	3	0.9142595465467155	1.0142452275557274	87.89833712070939	1478.6648671816895	0.0317840259986456	179.92002457826834	868.0292304895585	0.04901645739577102	0.01694368021331799	1906.469729698161	9.712407790751936e-6	0.00001432811499244832	-0.0017609057476373848	0.2620880138231385	-5.511715271156125e-6	0.024792508743681965	-0.03737870328931098	-7.832056292221788e-7	4.4008916156286223e-7	-0.08112179342027334
46	0	2000	200	3	0.9142676773339898	1.014257437714631	87.89687246268298	1478.9216543173302	0.031778732415480335	179.94424245584125	867.9948125924743	0.04901580479192746	0.016944061123809747	1906.396278153294	6.553600324774994e-6	0.000010240635227277573	-0.0011874331293285957	0.2516543797090953	-5.088178805804435e-6	0.02366727478029751	-0.03155274445263429	-5.294949227187091e-7	3.259941288753477e-7	-0.06628328569613127
47	0	2000	200	3	0.9142728687801	1.0142659676778045	87.89592736011471	1479.1684750474167	0.0317738286992868	179.9674003073925	867.9659150657455	0.04901538249342285	0.01694433956116541	1906.336244352115	3.894796371561678e-6	6.90229050300133e-6	-0.000714168657315684	0.2420869246670993	-4.726071248575439e-6	0.022661721851591394	-0.026319608232844283	-3.2007380123871866e-7	2.3322943100535122e-7	-0.05408051039067863
48	0	2000	200	3	0.914275639131586	1.0142714592420277	87.89541386178453	1479.406096034911	0.031769262298425666	179.98960076001697	867.9419522334484	0.04901515121978052	0.01694453369360742	1906.2873362678622	1.721849270658154e-6	4.1759081728599965e-6	-0.0003262711087459789	0.23327525571360327	-4.4146579480221505e-6	0.02175450961626014	-0.021710761391604723	-1.484201043451529e-7	1.577027140942406e-7	-0.04407997616705615
49	0	2000	200	3	0.9142764468982986	1.0142744858261723	87.89525071357998	1479.6352457089558	0.03176498534331954	180.01093632777952	867.9222833892434	0.04901507498718954	0.016944659595435077	1906.2474762677982	-4.051328014022442e-8	1.9586595565452747e-6	-0.00001182155750498259	0.22513261619260683	-4.146116657161064e-6	0.020929870401291184	-0.017731598790188548	-9.232197574844084e-9	9.636377928422044e-8	-0.035936449503070844
50	0	2000	200	3	0.914275666101023	1.0142755088811162	87.89537067324686	1479.856546312488	0.03176095882837756	180.03148225550677	867.9062967277563	0.04901512416415225	0.01694473006816331	1906.2149811459594	-1.467465989946832e-6	1.5330856719329186e-7	0.00024206870070580521	0.21756058340978462	-3.9124867052919305e-6	0.02017283783968519	-0.014336394800320649	1.0332417251507791e-7	4.639810592669975e-8	-0.02929230718143293
51	0	2000	200	3	0.914273605715801	1.0142749071529384	87.89571789038615	1480.0705327466844	0.031757150663879824	180.05130114347025	867.893433903474	0.04901527418248053	0.01694475553876535	1906.188479191691	-2.611995567397872e-6	-1.3062867250779748e-6	0.0004448924890350606	0.21048762954334593	-3.7081189990025175e-6	0.019473486578178184	-0.011471102865152594	1.934174936260107e-7	5.921975155257243e-9	-0.02389096930008116
52	0	2000	200	3	0.9142705229982251	1.0142729952765166	87.89624584809543	1480.2776697289291	0.03175353423366442	180.07044606710133	867.883195171797	0.04901550457324543	0.016944744617462325	1906.1668483072328	-3.5197219555908615e-6	-2.47623420465437e-6	0.0006049444491779633	0.20385118053433854	-3.5282112626701546e-6	0.018823570264561322	-0.009077234949748063	2.646891958598726e-7	-2.6643922668205047e-8	-0.01951399412475802
53	0	2000	200	3	0.9142666363890886	1.0142700405525351	87.8969151458141	1480.478368381298	0.031750086981401235	180.08896323878713	867.8751362169066	0.04901579798867183	0.01694470459109058	1906.1491511476158	-4.226743531119628e-6	-3.4003603938548077e-6	0.0007288628410408376	0.19760124317451283	-3.3690637464684927e-6	0.018216804206829994	-0.007099545739820952	3.200246774379048e-7	-5.251917425144399e-8	-0.015991146615583835
