"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"rtkPhosmax"	"rtkPhosmd"	"rtkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"	"foldkRosDeg"	"foldkGshOx"
258	3	1	0.7244404116644821	0.7244404116644821	0.7244404116644821	0.8244404116644821	0.8244404116644821	0.8244404116644821	0.17741413710678555	0.17741413710678555	0.17741413710678555	250.10949559156893	250.10949559156893	250.10949559156893	1406.6638018835356	1406.6638018835356	1406.6638018835356	867.9074943067577	867.9074943067577	867.9074943067577	32.23014952186963	32.23014952186963	32.23014952186963	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.07754045982735684	0.07754045982735684	0.07754045982735684	0.011423289322127767	0.011423289322127767	0.011423289322127767	100	2000	200	0.7	0.00005	1.7	0.25	0.6000000000000001
259	3	3	0.6829119416586331	0.04652696824455915	0.009202746773151005	0.782911941658633	0.14652696824455916	0.109202746773151	0.2607881895097506	0.20626659035921496	0.17768518103648603	1787.7436993707754	922.8752798309587	257.4461576594289	1402.9954708496057	1070.2809097638408	637.8466999939324	867.9074943067577	867.9074943067577	867.9074943067577	32.18098511586636	27.721814552163227	21.92616228899961	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09994854960514288	0.09949837665908116	0.07903488998630684	0.01123155203711484	0.009132555481744358	0.009095163179426106	100	2000	200	0.7	0.00005	1.7	0.30000000000000004	0.6000000000000001
260	3	3	0.647716575398702	0.07776621550488415	0.00550012106240374	0.747716575398702	0.17776621550488414	0.10550012106240374	0.28870073181989414	0.19706661876705805	0.17793544217580867	2104.089339244028	729.7483687593702	264.20042130881217	1399.6183390249141	1166.844365299635	479.673880057306	867.9074943067577	867.9074943067577	867.9074943067577	32.13572347545824	29.015995717692903	19.80626834646336	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09997386668143941	0.09894557856985686	0.08031089514752915	0.011072861124523574	0.009178894757613238	0.00909306938253516	100	2000	200	0.7	0.00005	1.7	0.35000000000000003	0.6000000000000001
261	3	3	0.6166961565026476	0.1063278404837818	0.004028519954426013	0.7166961565026476	0.20632784048378178	0.10402851995442602	0.3073656049561228	0.1926540164295005	0.17817393404772575	2283.5710304955624	630.5734346092947	270.61938935789107	1396.4088550003746	1216.4318323746727	389.93303443153894	867.9074943067577	867.9074943067577	867.9074943067577	32.09270871638007	29.680586328900354	18.603526465042982	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998236179500429	0.09834175281851802	0.08144097014321883	0.01093601695644476	0.009230051886598959	0.009092367027577535	100	2000	200	0.7	0.00005	1.7	0.4	0.6000000000000001
262	3	3	0.5884399691173836	0.13393837555153595	0.003204832420233972	0.6884399691173836	0.23393837555153596	0.10320483242023398	0.32132996153603394	0.18986355174378336	0.1784077484323472	2404.2169682748727	565.4773113936784	276.8958037169186	1393.2706478208609	1248.979893982481	329.61006554188367	867.9074943067577	867.9074943067577	867.9074943067577	32.05064923743205	30.11680816948797	17.79505446336647	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998667173007346	0.09768621435366484	0.08247333297942165	0.01081392838108834	0.00928623971045898	0.0090920107343022	100	2000	200	0.7	0.00005	1.7	0.45	0.6000000000000001
263	3	3	0.5619083291229311	0.1611534966641961	0.002671207076663773	0.6619083291229311	0.26115349666419607	0.10267120707666377	0.33228926680207893	0.1878741694929629	0.1786435178873583	2491.7987450293035	517.8881746413701	283.20806297054645	1390.114518194047	1272.774462358635	285.8191771646684	867.9074943067577	867.9074943067577	867.9074943067577	32.00834955484168	30.435712273151825	17.20815186501655	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998928115378737	0.09698216417442014	0.08344401422811637	0.010701595048761402	0.009347352502325842	0.009091795032297711	100	2000	200	0.7	0.00005	1.7	0.5	0.6000000000000001
264	3	3	0.5362103405523865	0.18842637862422446	0.002294857962772934	0.6362103405523865	0.28842637862422443	0.10229485796277293	0.3411555510768652	0.18634526233515972	0.17888874640363997	2558.5364332573745	480.62379058516353	289.7559164124836	1386.8405914730783	1291.4066543867384	252.4503330506329	867.9074943067577	867.9074943067577	867.9074943067577	31.964471109563473	30.685428191679254	16.760929576540423	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999103138764794	0.09622744657313846	0.08438420692413977	0.010594992876337233	0.009413762942249507	0.009091650358979186	100	2000	200	0.7	0.00005	1.7	0.55	0.6000000000000001
265	3	3	0.5104079760437427	0.21636686642600278	0.0020140906504941825	0.6104079760437426	0.31636686642600276	0.10201409065049419	0.3484900540835833	0.18509909834600846	0.17915381077775167	2611.1776748058355	449.79540367235944	296.8132484692652	1383.3119254446874	1306.8208478431404	226.12971227640242	867.9074943067577	867.9074943067577	867.9074943067577	31.917178548541827	30.892015235840198	16.40817033152323	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999228725288133	0.09541043406100232	0.08532695014461064	0.010490212877711957	0.009486726896706335	0.009091546552722537	100	2000	200	0.7	0.00005	1.7	0.6000000000000001	0.6000000000000001
266	3	3	0.48320094386628176	0.24604168050485137	0.0017960529145176097	0.5832009438662817	0.34604168050485135	0.1017960529145176	0.35466434371565914	0.18402278335267172	0.17945654395073918	2653.8039460601135	422.8328045613143	304.8480087761955	1379.2945452912224	1320.302147398663	204.81657664926342	867.9074943067577	867.9074943067577	867.9074943067577	31.863336049839404	31.072696880617848	16.122523359239825	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999323261474775	0.09450108740302249	0.08631810348842553	0.010382264224296832	0.00956927841471511	0.009091468413356927	100	2000	200	0.7	0.00005	1.7	0.65	0.6000000000000001
267	3	3	0.4519853752294388	0.27989292007517647	0.0016215408295152667	0.5519853752294388	0.37989292007517644	0.10162154082951526	0.3599365763666117	0.18301677573193303	0.17983784765058958	2689.045034952767	397.34472945276804	314.9295954040977	1374.2537519772713	1333.046184952936	187.19603220293666	867.9074943067577	867.9074943067577	867.9074943067577	31.795777368037413	31.243497451952305	15.886365936928424	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999939701900392	0.09341945609913291	0.08744931778709424	0.010261744491477967	0.009669360463871018	0.00909140744962907	100	2000	200	0.7	0.00005	1.7	0.7000000000000001	0.6000000000000001
