"t"	"glc"	"gln"	"cys2o"	"xct"	"x"	"ros[t]"	"ca[t]"	"gsh[t]"	"gssg[t]"	"nadph[t]"	"cys2[t]"	"cys[t]"	"pptaseRed[t]"	"tkPhos[t]"	"glu[t]"	"ros'[t]"	"ca'[t]"	"gsh'[t]"	"gssg'[t]"	"nadph'[t]"	"cys2'[t]"	"cys'[t]"	"pptaseRed'[t]"	"tkPhos'[t]"	"glu'[t]"
391	0	16000	1600	3	8	1.0025392440518042	1.102539240117103	73.01703077296415	1515.593718941677	0.019384504111352622	323.09886544043803	973.243666253785	0.042140375315406854	0.019178994945721776	1722.3557218938406	-8.852860772046474e-10	-1.0719628451919206e-9	9.872238187992478e-8	0.00003450310501768818	-3.832294309325616e-10	6.2469032591891e-6	7.315295522085882e-7	5.552281136877216e-11	-2.6662016191013712e-11	-4.0272950004581585e-7
392	0	16000	1600	3	8	1.0025392431219502	1.1025392390806146	73.01703088384637	1515.593752983634	0.01938450374249721	323.0988716052944	973.2436669737766	0.042140375375765225	0.019178994919796973	1722.3557214962025	-9.782900291535387e-10	-9.99861035784263e-10	1.239475089959242e-7	0.00003358475391577666	-3.5383949557926767e-10	6.083586121374634e-6	7.084703759104329e-7	6.55575390377864e-11	-2.516684724121545e-11	-3.9261186856693955e-7
393	0	16000	1600	3	8	1.0025392420874875	1.102539238119687	73.01703102267008	1515.593786119075	0.019384503404957423	323.09887760916365	973.2436676707588	0.04214037544724915	0.019178994895429576	1722.3557211084865	-1.0945040930485823e-9	-9.208412272519106e-10	1.5460536316806875e-7	0.00003269007336794573	-3.2059818179107326e-10	5.924929188998548e-6	6.855104625896199e-7	7.777391980621116e-11	-2.354719771295816e-11	-3.8288527312438686e-7
394	0	16000	1600	3	8	1.0025392409252054	1.1025392372412381	73.01703119486801	1515.593818371671	0.01938450310258464	323.0988834567061	973.2436683448307	0.04214037553204028	0.01917899487274407	1722.3557207303015	-1.2339282688897785e-9	-8.349034195948631e-10	1.906959443963584e-7	0.000031819063374195385	-2.835054895679783e-10	5.770932462060841e-6	6.626498122461493e-7	9.217195367404641e-11	-2.180306760624183e-11	-3.735497137181579e-7
395	0	16000	1600	3	8	1.0025392396118942	1.102539236452186	73.01703140587287	1515.593849765092	0.019384502839230235	323.098889152582	973.2436689960915	0.04214037563232027	0.019178994851864934	1722.3557203612565	-1.3965625566771272e-9	-7.420476128131206e-10	2.3221925268079316e-7	0.00003097172393452563	-2.425614189099829e-10	5.621595940561514e-6	6.398884248800211e-7	1.0875164064129218e-10	-1.9934456921066468e-11	-3.6460519034825257e-7
396	0	16000	1600	3	8	1.0025392381243436	1.1025392357594488	73.01703166111741	1515.593880323009	0.019384502618745594	323.09889470145146	973.2436696246406	0.04214037575027078	0.01917899483291665	1722.3557200009607	-1.5824069564106284e-9	-6.422738069066835e-10	2.7917528802137307e-7	0.00003014805504893646	-1.9776596981708691e-10	5.476919624500566e-6	6.172263004912353e-7	1.2751298070794842e-10	-1.7941365657432072e-11	-3.560517030146709e-7
397	0	16000	1600	3	8	1.0025392364393435	1.1025392351699446	73.01703196603437	1515.5939100690923	0.019384502444982087	323.09890010797466	973.2436702305772	0.04214037588807345	0.019178994816023698	1722.3557196490228	-1.7914614680902824e-9	-5.355820018755513e-10	3.3156405041809807e-7	0.00002934805671742788	-1.4911914228929045e-10	5.336903513877998e-6	5.946634390797916e-7	1.4845597387401518e-10	-1.5823793815338645e-11	-3.478892517174129e-7
398	0	16000	1600	3	8	1.0025392345336839	1.102539234690591	73.01703232605642	1515.5939390270125	0.019384502321791102	323.09890537681184	973.2436708140006	0.04214037604790995	0.019178994801310557	1722.355719305052	-2.023726091716089e-9	-4.2197219771972436e-10	3.893855398709682e-7	0.000028571728939999885	-9.662093632659346e-11	5.201547608693809e-6	5.721998406456904e-7	1.7158062013949244e-10	-1.3581741394786184e-11	-3.401178364564785e-7
399	0	16000	1600	3	8	1.0025392326050113	1.1025392342481326	73.0170326939356	1515.5939672296624	0.019384502215125807	323.0989105093781	973.2436713810006	0.04214037621045292	0.01917899478743679	1722.3557189695794	-1.8190580407387754e-9	-4.68296896951357e-10	3.4289212320711527e-7	0.000027837524194075304	-1.1929228608240112e-10	5.063979284813507e-6	5.622213500880205e-7	1.520915011653106e-10	-1.4264730715118685e-11	-3.3079761827578113e-7
400	0	16000	1600	3	8	1.002539230895331	1.102539233753975	73.01703301188357	1515.5939947086376	0.019384502083070576	323.0989155059756	973.2436719384765	0.04214037635212689	0.019178994772778294	1722.3557186433961	-1.60054764523555e-9	-5.199833384594493e-10	2.930553240403401e-7	0.000027123709146881704	-1.4486455995782739e-10	4.92982012358986e-6	5.527436248119074e-7	1.312856989821499e-10	-1.505282934459715e-11	-3.2159935847611687e-7
401	0	16000	1600	3	8	1.002539229403427	1.1025392332082355	73.01703328014929	1515.594021483646	0.019384501925303926	323.098920370227	973.243672486514	0.04214037647308284	0.019178994757330006	1722.355718326319	-1.3835046013164818e-9	-5.714607202529815e-10	2.4352764825777463e-7	0.000026429590060650867	-1.7071511914456037e-10	4.7992871101280536e-6	5.433445932211991e-7	1.1065545039855318e-10	-1.5844307411211754e-11	-3.125857091474688e-7
402	0	16000	1600	3	8	1.0025392281278325	1.1025392326111232	73.0170334990419	1515.5940475743832	0.019384501741547575	323.0989251057585	973.2436730251919	0.042140376573496306	0.019178994741088553	1722.3557180181633	-1.1679289089815707e-9	-6.227290423319534e-10	1.94309095859419e-7	0.000025755166935382794	-1.9684396364260023e-10	4.672380244428088e-6	5.340242553158953e-7	9.020075541452052e-11	-1.6639164914962498e-11	-3.0375667028983684e-7
403	0	16000	1600	3	8	1.00253922706708	1.102539231962847	73.01703366887052	1515.5940730005452	0.019384501531523237	323.0989297161962	973.2436735545888	0.042140376653542866	0.01917899472405055	1722.3557177187442	-9.538205682308166e-10	-6.737883046963652e-10	1.4539966684527308e-7	0.000025100439771077488	-2.2325109345194686e-10	4.549099526489963e-6	5.24782611095996e-7	6.992161403005189e-11	-1.7437401855849386e-11	-2.95112241903221e-7
404	0	16000	1600	3	8	1.0025392262197022	1.1025392312636164	73.01703378994428	1515.594097781828	0.019384501294952627	323.0989342051663	973.2436740747834	0.042140376713398056	0.01917899470621262	1722.3557174278772	-7.411795790642196e-10	-7.246385073462167e-10	9.679936121533698e-8	0.000024465408567734946	-2.4993650857260037e-10	4.4294449563136795e-6	5.156196605615014e-7	4.981802624514724e-11	-1.8239018233872415e-11	-2.866524239876213e-7
405	0	16000	1600	3	8	1.0025392255842318	1.10253923051364	73.01703386257229	1515.5941219379276	0.01938450103155746	323.0989385762948	973.2436745858543	0.04214037675323743	0.019178994687571387	1722.3557171453779	-5.300059414817794e-10	-7.75279650281508e-10	4.8508178969610616e-8	0.000023850073325355174	-2.7690020900456056e-10	4.313416533899237e-6	5.065354037124114e-7	2.988999205980664e-11	-1.904401404903158e-11	-2.783772165430377e-7
406	0	16000	1600	3	8	1.0025392251592014	1.1025392297131267	73.01703388706368	1515.59414548854	0.019384500741059445	323.09894283320807	973.2436750878803	0.04214037677323656	0.019178994668123468	1722.3557168710613	-3.202996554834966e-10	-8.257117335022391e-10	5.261201080940428e-10	0.000023254434043938162	-3.0414219474782763e-10	4.201014259246636e-6	4.97529840548726e-7	1.0137511474030062e-11	-1.985238930132689e-11	-2.7028661956947024e-7
407	0	16000	1600	3	8	1.0025392249431433	1.1025392288622862	73.01703386372758	1515.5941684533611	0.019384500423180306	323.09894697953206	973.2436755809402	0.04214037677357097	0.01917899464786548	1722.355716604743	-1.12060721069371e-10	-8.7593475700841e-10	-4.714681536921279e-8	0.00002267849072348392	-3.316624658024015e-10	4.092238132355874e-6	4.886029710704451e-7	-9.4394155121825e-12	-2.066414399075834e-11	-2.623806330669189e-7
408	0	16000	1600	3	8	1.0025392249345908	1.1025392279613269	73.0170337928731	1515.5941908520867	0.019384500077641753	323.09895101889305	973.2436760651126	0.042140376754416245	0.019178994626794052	1722.3557163462385	9.471086176059764e-11	-9.259487208000205e-10	-9.45106274623098e-8	0.00002212224336399244	-3.5946102216828214e-10	3.987088153226955e-6	4.797547952775689e-7	-2.884078889883105e-11	-2.1479278117325928e-11	-2.5465925703538367e-7
409	0	16000	1600	3	8	1.002539225132076	1.1025392270104584	73.01703367480935	1515.5942127044132	0.0193844997041655	323.0989549549171	973.243676540476	0.04214037671594791	0.0191789946049058	1722.355716095363	3.0001509300640914e-10	-9.75753624877071e-10	-1.4156531617119708e-7	0.000021585691965463726	-3.875378638454696e-10	3.885564321859876e-6	4.709853131700973e-7	-4.806660868591556e-11	-2.2297791681029658e-11	-2.471224914748646e-7
